City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Marseille,FR,43.3333,5.5,47.95,90,97,3.0,light rain
305,Avera,US,33.194,-82.5271,46.27,38,0,13.82,clear sky
306,Byron Bay,AU,-28.65,153.6167,74.71,84,65,13.2,light rain
307,Fonte Boa,BR,-2.4959,-66.2662,73.33,98,100,1.88,moderate rain
308,Sabha,LY,27.0377,14.4283,48.4,41,0,11.56,clear sky
309,Soe,ID,-9.8607,124.284,80.78,56,8,6.11,clear sky
310,Ostrovnoy,RU,68.0531,39.5131,20.77,85,100,26.62,overcast clouds
311,Kutum,SD,14.2,24.6667,56.41,22,4,7.76,clear sky
312,Tilichiki,RU,60.4667,166.1,-12.23,91,31,9.73,scattered clouds
313,Batagay-Alyta,RU,67.8006,130.4114,-5.96,76,54,3.8,broken clouds
314,Buala,SB,-8.145,159.5921,79.34,86,100,3.49,overcast clouds
315,Concordia,AR,-31.393,-58.0209,58.78,84,0,1.97,clear sky
316,Vargashi,RU,55.3556,65.8467,10.9,96,100,2.82,overcast clouds
317,Boffa,GN,10.1667,-14.0333,73.51,90,7,2.1,clear sky
318,Sao Filipe,CV,14.8961,-24.4956,72.95,68,87,10.83,overcast clouds
319,Torbay,CA,47.6666,-52.7314,30.58,87,100,11.01,light snow
320,Le Vauclin,MQ,14.5452,-60.8388,76.84,83,75,9.22,broken clouds
321,Arica,CL,-18.475,-70.3042,68.23,77,100,3.44,overcast clouds
322,Korla,CN,41.7597,86.1469,31.84,44,9,1.97,clear sky
323,Shache,CN,38.4167,77.2406,34.99,39,4,3.89,clear sky
324,Arrecife,ES,28.963,-13.5477,60.87,82,0,6.91,clear sky
325,Salinopolis,BR,-0.6136,-47.3561,78.33,88,100,10.92,moderate rain
326,Nador,MA,35.174,-2.9287,53.85,62,0,2.3,clear sky
327,Semnan,IR,35.5729,53.3971,38.84,51,4,4.56,clear sky
328,Katsuura,JP,35.1333,140.3,48.11,64,99,22.39,overcast clouds
329,Dalbandin,PK,28.8947,64.4101,54.34,52,100,4.36,overcast clouds
330,Port Shepstone,ZA,-30.7414,30.455,74.53,83,80,15.55,broken clouds
331,Yanaul,RU,56.2719,54.9309,-3.5,100,97,3.38,overcast clouds
332,Hualmay,PE,-11.0964,-77.6139,70.84,82,99,8.03,overcast clouds
333,Banda Aceh,ID,5.5577,95.3222,84.56,65,82,6.96,broken clouds
334,Benjamin Constant,BR,-4.3831,-70.0311,75.33,99,100,1.74,overcast clouds
335,Ixtapa,MX,20.7,-105.2,75.22,73,75,0.0,broken clouds
336,Verkhniy Fiagdon,RU,42.8333,44.3053,20.07,70,82,7.18,broken clouds
337,Plettenberg Bay,ZA,-34.0527,23.3716,66.92,91,100,13.87,light rain
338,Isangel,VU,-19.55,169.2667,89.71,70,40,6.91,scattered clouds
339,Winslow,US,35.0242,-110.6974,33.98,16,0,6.91,clear sky
340,Sabang,ID,5.8933,95.3214,82.54,72,67,11.65,broken clouds
341,Rawson,AR,-43.3002,-65.1023,64.96,81,22,32.95,few clouds
342,Tubuala,PA,9.5167,-79.0333,78.33,84,90,14.63,overcast clouds
343,Padang,ID,-0.9492,100.3543,87.85,57,39,3.67,light rain
